Servo,Weight(g),Torque(kg)(min. 0.01kg),Speed (Sec/60deg),A(mm),B(mm),C(mm),D(mm),E(mm),F(mm)
https://hobbyking.com/en_us/turnigytm-tgy-1269hv-titanium-hv-bb-ds-mg-servo-21kg-0-16sec-57g.html,102,21,0.16,45,41,41,20,53,28
https://hobbyking.com/en_us/bms-811dmgplushs-high-performance-digital-servo-metal-gear-5-0kg-15sec-45g.html,102,6.2,0.13,42,41,37,21,55,27
https://hobbyking.com/en_us/bms-820dmg-hs-high-performance-digital-metal-gear-9-2kg-09sec-45g.html,102,10.6,0.11,41,41,37,21,55,27
https://hobbyking.com/en_us/trackstar-ts-d99x-digital-1-10-scale-touring-drift-buggy-steering-servo-10kg-0-08sec-45g.html,104,10,0.08,33,40,26,20,55,20
https://hobbyking.com/en_us/turnigytm-sc-3404v-ds-helicopter-spec-servo-3-6kg-0-04sec-33g.html,106,3.6,0.04,34,35,29,15,49,19
https://hobbyking.com/en_us/rjx-fs-0391thv-metal-gear-digital-tail-servo-ultra-high-speed-10-6kg-0-03sec-50g.html,108,10.6,0.03,42,36,38,15,48,28
https://hobbyking.com/en_us/bms-955dmg-digital-low-profile-high-speed-metal-gear-servo-5-2kg-0-08sec-45g.html,109,5.5,0.08,30,41,26,21,55,16
https://hobbyking.com/en_us/bms-617mg-hs-super-fast-servo-mos-fet-for-competition-6-8kg-10sec-46g.html,111,6.8,0.1,42,41,38,20,54,27
https://hobbyking.com/en_us/aerostartm-asi-613mg-coreless-ds-mg-servo-13-83kg-0-103sec-61g.html,115,13.83,0.1,41,40,38,20.5,56,27
https://hobbyking.com/en_us/turnigytm-tgy-589mg-high-torque-hv-bb-ds-mg-servo-w-alloy-case-8kg-0-09sec-40g.html,116,8,0.09,37,35,33,15,48,23
https://hobbyking.com/en_us/turnigytm-tgy-565mg-high-speed-hv-ds-mg-servo-w-alloy-case-5kg-0-05sec-40g.html,116,5,0.05,37,35,33,15,48,23
https://hobbyking.com/en_us/bms-661mg-hs-super-fast-servo-metal-gear-5-3kg-10sec-46-5g.html,116,6.4,0.08,42,41,38,20,55,27
https://hobbyking.com/en_us/d50024mg-360-degree-continuous-travel-digital-n-roll-gimbal-servo-5-0kg-0-05s-60g.html,120,6,0.05,44,40,38,20,55,30
https://hobbyking.com/en_us/turnigytm-tgy-505bl-brushless-hv-ds-mg-servo-w-alloy-case-6-2kg-0-08sec-40g.html,120,6.2,0.08,37,35,33,15,48,23
https://hobbyking.com/en_us/turnigytm-tgy-505hs-brushless-hs-hv-bb-ds-mg-servo-w-alloy-case-4-8kg-0-04sec-40g.html,120,4.8,0.04,37,35,33,15,48,23
https://hobbyking.com/en_us/rjx-fs-0521hv-metal-gear-digital-servo-ultra-high-speed-and-torque-21-3kg-0-05sec-68g.html,122,21.3,0.05,42,41,38,20,55,25
https://hobbyking.com/en_us/hobbykingtm-mi-digital-brushless-magnetic-induction-hv-mg-servo-4kg-0-034sec-57g.html,122,4,0.03,44,40,40,20,55,30
https://hobbyking.com/en_us/goteck-bl1511s-digital-brushless-mg-high-torque-low-profile-car-servo-45g-12kg-0-07sec.html,123,12,0.07,31,41,26,20,54,17
https://hobbyking.com/en_us/hobbykingtm-mi-digital-brushless-magnetic-induction-hv-mg-servo-10-8kg-0-10sec-56g.html,124,10.8,0.1,44,40,40,20,54,29
https://hobbyking.com/en_us/bms-660mg-hs-super-strong-servo-12-6kg-20sec-51-3g.html,126,14.2,0.17,46,41,42,20,55,32
https://hobbyking.com/en_us/towerpro-mg968-digital-titanium-gear-high-torque-servo-25kg-0-13sec-65g.html,127,25,0.13,43,40,39,20,52,26
https://hobbyking.com/en_us/bms-621dmgplushs-high-speed-digital-servo-mg-7-2kg-10sec-46-5g.html,131,7.2,0.1,42,41,38,20,55,26
https://hobbyking.com/en_us/bms-661dmg-hs-super-fast-digital-servo-mg-6-4kg-08sec-46-5g.html,133,6.4,0.08,42,41,38,20,55,26
https://hobbyking.com/en_us/bms-830dmgplushs-high-performance-digital-servo-metal-gear-11-6kg-12sec-58g.html,135,11.6,0.16,42,42,37,21,55,22
https://hobbyking.com/en_us/bms-862dmaxplushs-champion-digital-servo-mg-18-8kg-15sec-54g.html,138,18.8,0.15,43,41,37,20,55,28
https://hobbyking.com/en_us/dms33016mg-330-degree-travel-fpv-servo-9-50kg-0-07s-60g.html,139,9.5,0.07,44,40,38,20,55,30
https://hobbyking.com/en_us/goteck-dc2511s-digital-mg-metal-cased-car-servo-62g-12kg-0-09sec.html,141,12,0.09,31,41,26,20,54,17
https://hobbyking.com/en_us/goteck-dc1611s-digital-mg-high-torque-std-servo-22kg-0-14sec-53g.html,142,22,0.14,43,40,40,20,54,26
https://hobbyking.com/en_us/goteck-dc1612s-digital-mg-high-torque-std-servo-53g-12kg-0-07sec.html,142,12,0.07,43,40,40,20,54,26
https://hobbyking.com/en_us/goteck-hb1623s-hv-digital-brushless-mg-high-torque-std-servo-16kg-0-10sec-53g.html,142,16,0.1,43,40,40,20,54,26
https://hobbyking.com/en_us/goteck-hc1627s-hv-digital-mg-high-torque-std-servo-29kg-0-14sec-53g.html,145,29,0.14,43,40,40,20,54,26
https://hobbyking.com/en_us/goteck-dc1614s-digital-mg-high-torque-std-servo-16kg-0-12sec-53g.html,146,16,0.12,43,40,40,20,54,26
https://hobbyking.com/en_us/vs-11-vigor-extra-large-servo-19sec-19kg-103g.html,151,19,0.19,57,60,54,28,74,40
https://hobbyking.com/en_us/goteck-dc2611s-digital-mg-metal-cased-high-torque-servo-22kg-0-14sec-77g.html,154,22,0.14,47,40,37,20,54,26
https://hobbyking.com/en_us/goteck-hb2621s-hv-digital-brushless-mg-metal-cased-high-torque-servo-19kg-0-07sec-77g.html,154,19,0.07,43,40,37,20,54,26
https://hobbyking.com/en_us/bls-1004-high-voltage-7-4v-brushless-digital-servo-w-nanometer-alloy-gear-9-7kg-048sec-66g.html,156,9.7,0.04,43,41,39,20,54,28
https://hobbyking.com/en_us/goteck-dc2614s-digital-mg-metal-cased-high-torque-servo-16kg-0-12sec-77g.html,156,14,0.12,43,40,37,20,54,26
https://hobbyking.com/en_us/goteck-hc2627s-hv-digital-metal-cased-mg-high-torque-std-servo-29kg-0-14sec-77g.html,156,29,0.14,43,40,40,20,54,26
https://hobbyking.com/en_us/goteck-hb2622s-hv-digital-brushless-mg-metal-cased-high-torque-servo-22kg-0-11sec-77g.html,157,22,0.11,43,40,37,20,54,26
https://hobbyking.com/en_us/bls-2112-wide-voltage-4-8-7-4v-brushless-digital-servo-w-titanium-alloy-gear-21-5kg-12sec-66g.html,158,21.5,0.12,43,41,39,19.7,54,40
https://hobbyking.com/en_us/goteck-hb1621s-hv-digital-brushless-mg-high-torque-std-servo-19kg-0-07sec-53g.html,158,19,0.07,43,40,40,20,54,26
https://hobbyking.com/en_us/turnigy-1209hp-ultra-fast-coreless-digital-servo-50g-5kg-0-05.html,163,5,0.05,42,40,39,20,55,26
https://hobbyking.com/en_us/bls-26a-high-voltage-7-4v-brushless-digital-servo-w-titanium-alloy-gear-26-5kg-09sec-74g.html,168,28.5,0.09,43,41,39,20,55,28
https://hobbyking.com/en_us/turnigy-1258tg-digital-titanium-gear-servo-57g-13-5kg-10sec.html,169,13.5,0.1,41,40,38,20,55,24
https://hobbyking.com/en_us/turnigytm-tgy-1267hv-titanium-bb-ds-mg-servo-14kg-0-10sec-57g.html,175,14,0.1,44,40,41,20,53,27
https://hobbyking.com/en_us/bms-35a-high-voltage-7-4v-coreless-digital-servo-w-titanium-alloy-gear-35-5kg-14sec-74g.html,181,35.5,0.14,40,41,39,20,55,28
https://hobbyking.com/en_us/power-hd-storm-6-high-voltage-hi-speed-digital-brushless-servo-w-titanium-alloy-gears-9-5kg-80g-04s.html,185,9.5,0.04,43,40,39,20,54,25
https://hobbyking.com/en_us/turnigytm-s8166m-high-torque-servo-33kg-0-21sec-154g.html,199,33,0.21,68,61,62,30,75,50
https://hobbyking.com/en_us/vigor-vsd-11ymb-mg-hv-extra-large-360-degree-winch-servo-0-75sec-28kg-150g.html,200,40,0.75,58,60,54,29,74,41
https://hobbyking.com/en_us/bms-l530mg-1-5-scale-servo-19-8kg-15sec-140-5g.html,222,24.3,0.12,60,61,55,30,77,41
https://hobbyking.com/en_us/bms-l530dmg-digital-servo-mg-19-8kg-15sec-140-5g.html,235,24.3,0.12,61,60,55,30,77,41
https://hobbyking.com/en_us/bms-l560dmgplushs-1-4-scale-digital-servo-mg-22-3kg-16sec-140-5g.html,255,27.5,0.13,61,60,56,30,77,41
https://hobbyking.com/en_us/tone-ps-050-heavy-duty-91-50kg-cm-professional-servo.html,465,91.5,0.29,93,74,79,44,100,50
